features,feature_count,cv_auc
"fragments_fit_score, fragments_unexplained, diagnose_raw_cosine, diagnose_top_peaks",4,0.8454135954135954
"fragments_fit_score, fragments_correlation, diagnose_isodec_css, diagnose_area_covered",4,0.8453316953316953
"fragments_correlation, fragments_pc_missing_peaks, diagnose_top_peaks",3,0.84494266994267
"fragments_correlation, fragments_pc_missing_peaks, fragments_coverage, diagnose_top_peaks",4,0.8447379197379198
"fragments_correlation, fragments_pc_missing_peaks, diagnose_area_covered, diagnose_top_peaks",4,0.8443079443079443
"fragments_fit_score, fragments_pc_missing_peaks, diagnose_raw_cosine",3,0.8441850941850941
"fragments_fit_score, diagnose_isodec_css, diagnose_final_cosine, diagnose_top_peaks",4,0.8441850941850941
"fragments_fit_score, fragments_pc_missing_peaks, fragments_coverage, diagnose_raw_cosine",4,0.8441850941850941
"fragments_fit_score, fragments_rawcos, fragments_pc_missing_peaks, diagnose_raw_cosine",4,0.8441850941850941
"fragments_fit_score, fragments_pc_missing_peaks, fragments_css, diagnose_raw_cosine",4,0.8441441441441442
"fragments_fit_score, fragments_score, fragments_coverage, diagnose_isodec_css",4,0.8441031941031941
"fragments_fit_score, diagnose_raw_cosine, diagnose_isodec_css, diagnose_top_peaks",4,0.844021294021294
"fragments_fit_score, fragments_pc_missing_peaks, diagnose_raw_cosine, diagnose_final_cosine",4,0.843939393939394
"fragments_fit_score, diagnose_raw_cosine, diagnose_area_covered, diagnose_top_peaks",4,0.8438984438984439
"fragments_fit_score, fragments_score, diagnose_raw_cosine, diagnose_top_peaks",4,0.8437346437346437
"fragments_fit_score, diagnose_isodec_css",2,0.8436527436527437
"fragments_fit_score, fragments_css, diagnose_isodec_css",3,0.8436527436527437
"fragments_fit_score, fragments_rawcos, diagnose_isodec_css",3,0.8436527436527437
"fragments_fit_score, fragments_rawcos, fragments_css, diagnose_isodec_css",4,0.8436527436527437
"fragments_fit_score, fragments_unexplained, diagnose_isodec_css",3,0.8436117936117936
"fragments_fit_score, fragments_css, fragments_unexplained, diagnose_isodec_css",4,0.8435708435708436
"fragments_fit_score, fragments_rawcos, fragments_unexplained, diagnose_isodec_css",4,0.8435708435708436
"fragments_fit_score, diagnose_isodec_css, diagnose_area_covered",3,0.8435298935298935
"fragments_fit_score, fragments_css, diagnose_isodec_css, diagnose_area_covered",4,0.8435298935298935
"fragments_fit_score, fragments_rawcos, diagnose_isodec_css, diagnose_area_covered",4,0.8435298935298935
"fragments_fit_score, fragments_unexplained, diagnose_isodec_css, diagnose_area_covered",4,0.8435298935298935
"fragments_fit_score, fragments_score, fragments_pc_missing_peaks, diagnose_raw_cosine",4,0.8433660933660934
"fragments_correlation, fragments_pc_missing_peaks, fragments_unexplained, diagnose_top_peaks",4,0.8432227682227682
"fragments_correlation, fragments_pc_missing_peaks, fragments_css, diagnose_top_peaks",4,0.8428951678951679
"fragments_score, fragments_pc_missing_peaks, diagnose_raw_cosine, diagnose_top_peaks",4,0.8427518427518428
"fragments_fit_score, fragments_score, diagnose_isodec_css, diagnose_final_cosine",4,0.8427108927108927
"fragments_fit_score, diagnose_raw_cosine, diagnose_final_cosine, diagnose_top_peaks",4,0.8425880425880425
"fragments_fit_score, fragments_coverage, fragments_unexplained, diagnose_isodec_css",4,0.8425061425061425
"fragments_score, fragments_correlation, fragments_pc_missing_peaks, diagnose_top_peaks",4,0.8424447174447175
"fragments_fit_score, fragments_coverage, diagnose_isodec_css, diagnose_area_covered",4,0.8423832923832923
"fragments_fit_score, fragments_pc_missing_peaks, fragments_unexplained, diagnose_raw_cosine",4,0.8423832923832923
"fragments_fit_score, fragments_coverage, diagnose_isodec_css",3,0.8423423423423423
"fragments_fit_score, fragments_css, fragments_coverage, diagnose_isodec_css",4,0.8423423423423423
"fragments_fit_score, fragments_rawcos, fragments_coverage, diagnose_isodec_css",4,0.8423423423423423
"fragments_fit_score, diagnose_isodec_css, diagnose_final_cosine",3,0.842014742014742
"fragments_fit_score, fragments_css, diagnose_isodec_css, diagnose_final_cosine",4,0.842014742014742
"fragments_fit_score, fragments_rawcos, diagnose_isodec_css, diagnose_final_cosine",4,0.842014742014742
"fragments_fit_score, fragments_unexplained, diagnose_isodec_css, diagnose_final_cosine",4,0.842014742014742
"fragments_fit_score, diagnose_isodec_css, diagnose_final_cosine, diagnose_area_covered",4,0.841973791973792
"fragments_fit_score, fragments_correlation, diagnose_raw_cosine, diagnose_isodec_css",4,0.8418099918099918
"fragments_correlation, fragments_coverage, diagnose_isodec_css",3,0.8415642915642916
"fragments_correlation, fragments_css, fragments_coverage, diagnose_isodec_css",4,0.8415642915642916
"fragments_correlation, fragments_rawcos, fragments_coverage, diagnose_isodec_css",4,0.8415642915642916
"fragments_score, fragments_pc_missing_peaks, diagnose_isodec_css, diagnose_top_peaks",4,0.8415642915642916
"fragments_correlation, fragments_pc_missing_peaks, diagnose_final_cosine, diagnose_top_peaks",4,0.8415438165438165
"fragments_fit_score, fragments_score, diagnose_raw_cosine, diagnose_isodec_css",4,0.8411547911547912
"fragments_fit_score, fragments_correlation, fragments_coverage, diagnose_raw_cosine",4,0.8410728910728911
"fragments_fit_score, fragments_coverage, diagnose_isodec_css, diagnose_final_cosine",4,0.8410728910728911
"fragments_fit_score, fragments_correlation, fragments_pc_missing_peaks, diagnose_area_covered",4,0.840990990990991
"fragments_correlation, fragments_coverage, diagnose_isodec_css, diagnose_area_covered",4,0.8409090909090909
"fragments_correlation, fragments_coverage, fragments_unexplained, diagnose_isodec_css",4,0.8407043407043407
"fragments_score, fragments_correlation, fragments_coverage, diagnose_isodec_css",4,0.8403357903357903
"fragments_score, fragments_pc_missing_peaks, diagnose_isodec_css",3,0.8402538902538903
"fragments_score, fragments_pc_missing_peaks, fragments_css, diagnose_isodec_css",4,0.8402538902538903
"fragments_score, fragments_pc_missing_peaks, fragments_unexplained, diagnose_isodec_css",4,0.8402538902538903
"fragments_score, fragments_rawcos, fragments_pc_missing_peaks, diagnose_isodec_css",4,0.8402538902538903
"fragments_score, fragments_pc_missing_peaks, diagnose_raw_cosine, diagnose_isodec_css",4,0.8402129402129402
"fragments_fit_score, fragments_coverage, diagnose_raw_cosine, diagnose_isodec_css",4,0.8401719901719902
"fragments_correlation, fragments_coverage, diagnose_raw_cosine, diagnose_isodec_css",4,0.8401310401310401
"fragments_score, fragments_pc_missing_peaks, diagnose_isodec_css, diagnose_area_covered",4,0.8401310401310401
"fragments_correlation, fragments_coverage, diagnose_isodec_css, diagnose_final_cosine",4,0.8400900900900901
"fragments_fit_score, fragments_correlation, diagnose_raw_cosine",3,0.8399262899262899
"fragments_fit_score, fragments_correlation, fragments_css, diagnose_raw_cosine",4,0.8399262899262899
"fragments_fit_score, fragments_correlation, fragments_rawcos, diagnose_raw_cosine",4,0.8399262899262899
"fragments_fit_score, fragments_correlation, fragments_unexplained, diagnose_raw_cosine",4,0.8399262899262899
"fragments_fit_score, fragments_score, fragments_correlation, diagnose_raw_cosine",4,0.8398443898443898
"fragments_score, fragments_pc_missing_peaks, fragments_coverage, diagnose_isodec_css",4,0.8398443898443898
"fragments_fit_score, fragments_score, diagnose_raw_cosine",3,0.8397215397215397
"fragments_fit_score, fragments_score, fragments_css, diagnose_raw_cosine",4,0.8397215397215397
"fragments_fit_score, fragments_score, fragments_rawcos, diagnose_raw_cosine",4,0.8397215397215397
"fragments_fit_score, fragments_score, fragments_unexplained, diagnose_raw_cosine",4,0.8397215397215397
