frag_id,ion_type,series,frag_len,charge,H2O,NH3,CO,CO2,2H2O,2NH3,variant_type,variant_suffix,variant_pass_count,%H,%2H,obs_idx,obs_mz,obs_int,obs_rel_int,anchor_theory_mz,anchor_ppm,css,rawcos,cos0,w0,w_plusH,w_plus2H,w_minusH,w_minus2H,label
c25,c,c,25,1,0,0,0,0,0,0,nonmodified,,1,0.0,0.0,596,2690.6638,83.51,1.0,2690.663637,0.06057985006401281,0.9930445711948392,0.9924874938769856,0.9924874938769856,1.0,0.0,0.0,0.0,0.0,c25^1+ | 0.1 ppm | css=0.993
c24,c,c,24,1,0,0,0,0,0,0,nonmodified,,1,0.0,0.0,209,2633.6423,30.4,0.3640282600886121,2633.642173,0.0482221924812117,0.9823759153142896,0.9775668765293888,0.9775668765293888,1.0,0.0,0.0,0.0,0.0,c24^1+ | 0.0 ppm | css=0.982
z-dot25-H2O,z-dot,z,25,1,1,0,0,0,0,0,nonmodified,,1,30.544585953313373,69.45541404668663,744,2697.6658,2.771,0.03318165489162974,2697.636843,10.734209860430513,0.8475177396726342,0.4411071724562292,0.5943591017425874,0.0,0.0,0.0,0.30544585953313375,0.6945541404668663,z-dot25-H2O^1+ | 10.7 ppm | css=0.848 | %H=31 | %2H=69 | -mix
b24,b,b,24,1,0,0,0,0,0,0,nonmodified,,1,0.0,0.0,55,2616.6106,5.514,0.06602802059633577,2616.615624,-1.92003745371221,0.822388707035436,0.8223887070354359,0.8223887070354359,1.0,0.0,0.0,0.0,0.0,b24^1+ | -1.9 ppm | css=0.822
c24-H2O,c,c,24,1,1,0,0,0,0,0,nonmodified,,1,31.19877944781605,68.63197652985228,64,2617.5935,2.686,0.03216381271703987,2617.646162,-20.118074308339168,0.8021039041840098,0.4836280817994881,0.6961699777694212,0.0016924402233167188,0.3119877944781605,0.6863197652985228,0.0,0.0,c24-H2O^1+ | -20.1 ppm | css=0.802 | %H=31 | %2H=69 | +mix
z-dot25,z-dot,z,25,1,0,0,0,0,0,0,nonmodified,,1,83.75990109788756,16.240098902112443,882,2718.7039,4.286,0.051323194826966824,2718.669237,12.74998794563162,0.7987326629217776,0.4815970820620504,0.7767225545253593,0.0,0.8375990109788756,0.16240098902112443,0.0,0.0,z-dot25^1+ | 12.7 ppm | css=0.799 | %H=84 | %2H=16 | +mix
c25-CO2,c,c,25,1,0,0,0,1,0,0,nonmodified,,1,32.17336250581457,39.866152130482135,361,2648.6685,4.629,0.05543048736678241,2648.688361,-7.498428389010585,0.7094411398191554,0.5990828383274136,0.7671018067830415,0.27960485363703297,0.32173362505814573,0.39866152130482135,0.0,0.0,c25-CO2^1+ | -7.5 ppm | css=0.709 | %H=32 | %2H=40 | +mix
