frag_id,charge,H2O,NH3,CO,CO2,2H2O,2NH3,variant_type,variant_suffix,variant_pass_count,%H,%2H,css,rawcos,theory_mz,theory_int,obs_mz,ppm,obs_int,within,obs_idx
c25,1,0,0,0,0,0,0,nonmodified,,1,0.0,0.0,0.9930445711948392,0.9924874938769856,2689.6604999999995,53.9104612504439,2689.6599,-0.22307648098882385,54.43,True,574
c25,1,0,0,0,0,0,0,nonmodified,,1,0.0,0.0,0.9930445711948392,0.9924874938769856,2690.6638,83.51,2690.6638,0.0,83.51,True,596
c25,1,0,0,0,0,0,0,nonmodified,,1,0.0,0.0,0.9930445711948392,0.9924874938769856,2691.6670999999997,67.49433596904561,2691.6604,-2.489163685752607,60.71,True,623
c25,1,0,0,0,0,0,0,nonmodified,,1,0.0,0.0,0.9930445711948392,0.9924874938769856,2692.6703999999995,37.75819116632578,2692.6492,-7.873225033290591,36.54,True,662
c25,1,0,0,0,0,0,0,nonmodified,,1,0.0,0.0,0.9930445711948392,0.9924874938769856,2693.6737,16.382448789434168,2693.6384,-13.104779543270794,11.29,True,688
c25,1,0,0,0,0,0,0,nonmodified,,1,0.0,0.0,0.9930445711948392,0.9924874938769856,2694.6769999999997,5.8609952457530845,2694.6582,-6.976717432118317,3.771,True,717
c25,1,0,0,0,0,0,0,nonmodified,,1,0.0,0.0,0.9930445711948392,0.9924874938769856,2695.6802999999995,1.7960722938516498,2695.6099,-26.115856542635477,1.657,True,726
c24,1,0,0,0,0,0,0,nonmodified,,1,0.0,0.0,0.9823759153142896,0.9775668765293888,2632.6389999999997,19.96715927750414,2632.6116,-10.407807526777693,19.91,True,170
c24,1,0,0,0,0,0,0,nonmodified,,1,0.0,0.0,0.9823759153142896,0.9775668765293888,2633.6423,30.4,2633.6423,0.0,30.4,True,209
c24,1,0,0,0,0,0,0,nonmodified,,1,0.0,0.0,0.9823759153142896,0.9775668765293888,2634.6456,24.146768270607577,2634.6509,2.011655761314238,18.89,True,228
c24,1,0,0,0,0,0,0,nonmodified,,1,0.0,0.0,0.9823759153142896,0.9775668765293888,2635.6488999999997,13.274962561407719,2635.6594,3.9838386669484485,9.657,True,251
c24,1,0,0,0,0,0,0,nonmodified,,1,0.0,0.0,0.9823759153142896,0.9775668765293888,2636.6522,5.659889337071926,2636.6531,0.3413419487035322,4.8,True,279
c24,1,0,0,0,0,0,0,nonmodified,,1,0.0,0.0,0.9823759153142896,0.9775668765293888,2637.6555,1.9896828031876261,2637.6394,-6.103905532706573,2.143,True,285
c24,1,0,0,0,0,0,0,nonmodified,,1,0.0,0.0,0.9823759153142896,0.9775668765293888,2638.6587999999997,0.5990932490736985,2638.325,-126.50366163290339,1.971,False,298
z-dot25-H2O,1,1,0,0,0,0,0,nonmodified,,1,30.544585953313373,69.45541404668663,0.8475177396726342,0.4411071724562292,2696.6625,1.7813062483929054,2696.6531,-3.4857903055774107,2.0,True,740
z-dot25-H2O,1,1,0,0,0,0,0,nonmodified,,1,30.544585953313373,69.45541404668663,0.8475177396726342,0.4411071724562292,2697.6658,2.771,2697.6658,0.0,2.771,True,744
z-dot25-H2O,1,1,0,0,0,0,0,nonmodified,,1,30.544585953313373,69.45541404668663,0.8475177396726342,0.4411071724562292,2697.669776,0.7833696272638789,2697.6887,7.014943106946816,0.8286,True,746
z-dot25-H2O,1,1,0,0,0,0,0,nonmodified,,1,30.544585953313373,69.45541404668663,0.8475177396726342,0.4411071724562292,2698.6691,2.2446688702510293,2698.679,3.668474953085581,2.143,True,755
z-dot25-H2O,1,1,0,0,0,0,0,nonmodified,,1,30.544585953313373,69.45541404668663,0.8475177396726342,0.4411071724562292,2698.673076,1.2186097921716885,2698.6865,4.9742964863517845,0.8571,True,756
z-dot25-H2O,1,1,0,0,0,0,0,nonmodified,,1,30.544585953313373,69.45541404668663,0.8475177396726342,0.4411071724562292,2699.6724,1.2566924846956828,2700.1646,182.31841759768298,2.2,False,757
z-dot25-H2O,1,1,0,0,0,0,0,nonmodified,,1,30.544585953313373,69.45541404668663,0.8475177396726342,0.4411071724562292,2699.676376,0.9871437984376996,2700.1646,180.84537996496994,2.2,False,757
z-dot25-H2O,1,1,0,0,0,0,0,nonmodified,,1,30.544585953313373,69.45541404668663,0.8475177396726342,0.4411071724562292,2700.6757,0.5450101201718005,2700.5837,-34.065548854919335,2.057,False,762
z-dot25-H2O,1,1,0,0,0,0,0,nonmodified,,1,30.544585953313373,69.45541404668663,0.8475177396726342,0.4411071724562292,2700.679676,0.5526588840125329,2700.5837,-35.537720690450456,2.057,False,762
z-dot25-H2O,1,1,0,0,0,0,0,nonmodified,,1,30.544585953313373,69.45541404668663,0.8475177396726342,0.4411071724562292,2701.679,0.1947024385701462,2701.635,-16.286168712074613,0.5143,True,766
z-dot25-H2O,1,1,0,0,0,0,0,nonmodified,,1,30.544585953313373,69.45541404668663,0.8475177396726342,0.4411071724562292,2701.682976,0.23968050136197208,2701.635,-17.757820005538292,0.5143,True,766
z-dot25-H2O,1,1,0,0,0,0,0,nonmodified,,1,30.544585953313373,69.45541404668663,0.8475177396726342,0.4411071724562292,2702.6823,0.05952941470440505,2701.8789,-297.26024401750186,3.6,False,776
z-dot25-H2O,1,1,0,0,0,0,0,nonmodified,,1,30.544585953313373,69.45541404668663,0.8475177396726342,0.4411071724562292,2702.686276,0.085624791844564,2701.8789,-298.7309356506864,3.6,False,776
b24,1,0,0,0,0,0,0,nonmodified,,1,0.0,0.0,0.822388707035436,0.8223887070354359,2615.6073,3.6315737478183587,2615.6357,10.857899043060563,0.9714,True,44
