frag_id,charge,H2O,NH3,CO,CO2,2H2O,2NH3,variant_type,variant_suffix,variant_pass_count,%H,%2H,css,rawcos,theory_mz,theory_int,obs_mz,ppm,obs_int,within,obs_idx
c18,1,0,0,0,0,0,0,nonmodified,,1,0.0,0.0,0.9998918089885143,0.999891808988514,2011.2677699761628,92.28906283786714,2011.2516666478562,-8.006556136873735,92.37,True,36736
c18,1,0,0,0,0,0,0,nonmodified,,1,0.0,0.0,0.9998918089885143,0.999891808988514,2012.2710699761628,106.7,2012.2710699761628,0.0,106.7,True,36767
c18,1,0,0,0,0,0,0,nonmodified,,1,0.0,0.0,0.9998918089885143,0.999891808988514,2013.2743699761627,65.20466878584105,2013.2578731980318,-8.194003945463894,63.0,True,36796
c18,1,0,0,0,0,0,0,nonmodified,,1,0.0,0.0,0.9998918089885143,0.999891808988514,2014.2776699761628,27.8472512140482,2014.2842765491935,3.279872050000309,28.29,True,36823
c18,1,0,0,0,0,0,0,nonmodified,,1,0.0,0.0,0.9998918089885143,0.999891808988514,2015.2809699761629,9.291661390539424,2015.2715797726948,-4.6595008874184005,8.829,True,36845
c18,1,0,0,0,0,0,0,nonmodified,,1,0.0,0.0,0.9998918089885143,0.999891808988514,2016.2842699761627,2.5710134613553817,2016.2722830399466,-5.945062605795923,2.457,True,36863
c9,1,0,0,0,0,0,0,nonmodified,,1,0.0,0.0,0.9995182085028432,0.9997004515484392,998.6865606675093,192.1,998.6865606675093,0.0,192.1,True,17334
c9,1,0,0,0,0,0,0,nonmodified,,1,0.0,0.0,0.9995182085028432,0.9997004515484392,999.6898606675093,109.02635499999995,999.6877639363937,-2.0973815960854925,112.7,True,17388
c9,1,0,0,0,0,0,0,nonmodified,,1,0.0,0.0,0.9995182085028432,0.9997004515484392,1000.6931606675093,34.237896074750104,1000.6894672069106,-3.690902210457217,35.14,True,17434
c9,1,0,0,0,0,0,0,nonmodified,,1,0.0,0.0,0.9995182085028432,0.9997004515484392,1001.6964606675093,7.7277962521538095,1001.7008705090977,4.402373135558214,7.057,True,17469
z-dot1-NH3,1,0,1,0,0,0,0,nonmodified,,1,100.0,0.0,0.9993865340926665,0.7039439794962781,140.08245736303593,11.49,140.08245736303593,0.0,11.49,True,83
z-dot1-NH3,1,0,1,0,0,0,0,nonmodified,,1,100.0,0.0,0.9993865340926665,0.7039439794962781,141.08575736303592,0.90771,141.0838606325734,-13.443812458353838,1.171,True,88
z-dot19-2H2O,1,0,0,0,0,1,0,nonmodified,,1,100.0,0.0,0.9990610818094325,0.5720944438746733,2011.2516666478562,78.49919265743185,2011.2779667337247,13.076476855034384,82.23,True,36740
z-dot19-2H2O,1,0,0,0,0,1,0,nonmodified,,1,100.0,0.0,0.9990610818094325,0.5720944438746733,2012.2549666478562,92.37,2012.2710699761628,8.002628182563244,106.7,True,36767
z-dot19-2H2O,1,0,0,0,0,1,0,nonmodified,,1,100.0,0.0,0.9990610818094325,0.5720944438746733,2013.2582666478563,57.176904008795866,2013.2644732195806,3.082849243500182,51.51,True,36797
z-dot19-2H2O,1,0,0,0,0,1,0,nonmodified,,1,100.0,0.0,0.9990610818094325,0.5720944438746733,2014.2615666478562,24.649549822672682,2014.2908765707423,14.551199988833375,23.8,True,36824
z-dot19-2H2O,1,0,0,0,0,1,0,nonmodified,,1,100.0,0.0,0.9990610818094325,0.5720944438746733,2015.2648666478563,8.280766259731488,2015.2847798157923,9.881166622595776,8.514,True,36847
z-dot19-2H2O,1,0,0,0,0,1,0,nonmodified,,1,100.0,0.0,0.9990610818094325,0.5720944438746733,2016.2681666478563,2.3021417603000875,2016.2722830399466,2.0415895853404797,2.457,True,36863
y25,3,0,0,0,0,0,0,nonmodified,,1,0.0,0.0,0.9988543537668894,0.9990202926125011,911.5671443183719,904.9541754790757,911.5650762197107,-2.2687288304409723,940.9,True,7254
y25,3,0,0,0,0,0,0,nonmodified,,1,0.0,0.0,0.9988543537668894,0.9990202926125011,911.9015773183719,1412.0,911.9015773183719,0.0,1412.0,True,7294
y25,3,0,0,0,0,0,0,nonmodified,,1,0.0,0.0,0.9988543537668894,0.9990202926125011,912.2360113183719,1148.7855556559646,912.2336784026672,-2.5573598012978467,1197.0,True,7335
y25,3,0,0,0,0,0,0,nonmodified,,1,0.0,0.0,0.9988543537668894,0.9990202926125011,912.5704443183719,646.6241659040378,912.5658794872892,-5.002168447498585,676.6,True,7375
y25,3,0,0,0,0,0,0,nonmodified,,1,0.0,0.0,0.9988543537668894,0.9990202926125011,912.9048773183719,282.1787408085899,912.8980805719109,-7.44518583461724,292.4,True,7420
y25,3,0,0,0,0,0,0,nonmodified,,1,0.0,0.0,0.9988543537668894,0.9990202926125011,913.2393113183718,101.50499653968966,913.2348816715516,-4.850477596944948,118.6,True,7453
y25,3,0,0,0,0,0,0,nonmodified,,1,0.0,0.0,0.9988543537668894,0.9990202926125011,913.5737443183718,31.267917631881396,913.5627827421342,-11.99856750018987,33.8,True,7481
c5,1,0,0,0,0,0,0,nonmodified,,1,0.0,0.0,0.9987719073464566,0.9998779198207742,572.3919688344961,537.7,572.3919688344961,0.0,537.7,True,2142
