spec,label,formula,mono_mass,avg_mass,z,h_transfer,variant_type,variant_suffix,variant_pass_count,theory_mz,theory_int,obs_mz,ppm,obs_int,within,obs_idx
z2^1+,z2^1+,"Composition({'H': 15, 'C': 8, 'O': 2, 'N': 5})",213.12257474416998,213.23732439587286,1,2,nonmodified,,1,216.1438,119.3,216.1438,0.0,119.3,True,263
z2^1+,z2^1+,"Composition({'H': 15, 'C': 8, 'O': 2, 'N': 5})",213.12257474416998,213.23732439587286,1,2,nonmodified,,1,217.1471,13.069315000000001,217.1452,-8.74982903297456,5.657,True,275
